Zeitstempel,Wie alt sind Sie?,Wie häufg fliegen Sie im Jahr?,Fliegen Sie hauptsächlich Kurz- oder Langstrecke?,"Wie würden Sie es empfinden, wenn an Ihrem Platz ein großer Bildschirm mit aktuellen Filmen verfügbar ist?  ","Wie würden Sie es empfinden, wenn an Ihrem Platz kein großer Bildschirm mit aktuellen Filmen verfügbar ist?  ",Wie wichtig ist Ihnen ein In-Flight Entertainment System beim Fliegen? (1= Unwichtig/ 9 = Sehr wichtig),"Wie würden Sie es empfinden, wenn die Kabine dank spezieller Dämmung während des Fluges sehr leise ist? ","Wie würden Sie es empfinden, wenn die Kabine schlecht gedämmt ist und es in der Kabine während des Fluges laut ist?",Wie wichtig ist Ihnen der Geräuschpegel beim Fliegen? (1= Unwichtig/ 9 = Sehr wichtig),"Wie würden Sie es empfinden, wenn es eine Internetverbindung (WLAN) an Bord gibt?","Wie würden Sie es empfinden, wenn es keine Internetverbindung (WLAN) an Board gibt?",Wie wichtig ist Ihnen eine Internetverbindung während dem Flug? (1= Unwichtig/ 9 = Sehr wichtig),"Wie würden Sie es empfinden, wenn sich die Rückenlehne am Sitz verstellen lässt?","Wie würden Sie es empfinden, wenn sich die Rückenlehne am Sitz nicht verstellen lässt?",Wie wichtig ist Ihnen eine Einstellungsmöglichkeit des Sitzplatzes? (1= Unwichtig/ 9 = Sehr wichtig),"Wie würden Sie es empfinden, wenn Sie den Flug live über eine Außenkamera am Heck (Tail-View) auf Ihrem Bildschirm verfolgen können?","Wie würden Sie es empfinden, wenn keine Außenkamera zur Flugbeobachtung verfügbar ist?",Wie wichtig ist Ihnen eine Tail-View Kamera (Außenkamera) am Flugzeug zur Beobachtung des Fluges? (1= Unwichtig/ 9 = Sehr wichtig),"Wie würden Sie es empfinden, wenn sich die Kabinenfenster am Sitzplatz variabel abdunkeln lassen?","Wie würden Sie es empfinden, wenn sich die Kabinenfenster am Sitzplatz nicht abdunkeln lassen?",Wie wichtig ist Ihnen eine Möglichkeit zur Dimmung der Kabinenfenster? (1= Unwichtig/ 9 = Sehr wichtig),"Wie würden Sie es empfinden, wenn an Bord warme Mahlzeiten verfügbar sind?","Wie würden Sie es empfinden, wenn an Bord keine warmen Mahlzeiten verfügbar sind?","Wie wichtig ist Ihnen eine Möglichkeit, warme Mahlzeiten auf dem Flug zu erhalten? (1= Unwichtig/ 9 = Sehr wichtig)","Wie würden Sie es empfinden, wenn direkt an Ihrem Sitz eine Steckdose/USB-Port zum Laden Ihrer Geräte vorhanden ist?","Wie würden Sie es empfinden, wenn direkt an Ihrem Sitz keine Steckdose/USB-Port zum Laden Ihrer Geräte vorhanden ist?","Wie wichtig ist Ihnen eine Möglichkeit, Ihre Geräte zu laden? (1= Unwichtig/ 9 = Sehr wichtig)","Wie würden Sie es empfinden, wenn es ein Stimmungslicht in der Kabine gibt?","Wie würden Sie es empfinden, wenn es kein Stimmungslicht in der Kabine gibt?",Wie wichtig ist Ihnen ein angenehmes Stimmungslicht in der Kabine? (1= Unwichtig/ 9 = Sehr wichtig),"Wie würden Sie es empfinden, wenn es ein digitales Bestellsystem für Speisen und Getränke am Sitzplatz gibt?","Wie würden Sie es empfinden, wenn es kein digitales Bestellsystem für Speisen und Getränke am Sitzplatz gibt?",Wie wichtig ist Ihnen ein Digitales Bestellsystem am Sitzplatz? (1= Unwichtig/ 9 = Sehr wichtig)
10.02.2026 14:54:37,18 - 25,Mehr als 6 Flüge,Beides gleich viel,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Würde mich sehr freuen,Nehme ich gerade noch hin,5,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Setze ich voraus,Würde mich stören,9,Würde mich sehr freuen,Ist mir egal,1,Setze ich voraus,Würde mich stören,9,Setze ich voraus,Würde mich stören,9,Setze ich voraus,Würde mich stören,9,Ist mir egal,Ist mir egal,3,Würde mich sehr freuen,Ist mir egal,3
10.02.2026 15:02:05,18 - 25,Weniger als 3 Flüge,Hauptsächlich Langstrecke,Würde mich sehr freuen,Würde mich stören,7,Würde mich sehr freuen,Würde mich stören,7,Ist mir egal,Ist mir egal,1,Würde mich sehr freuen,Ist mir egal,5,Würde mich sehr freuen,Ist mir egal,3,Setze ich voraus,Nehme ich gerade noch hin,5,Würde mich sehr freuen,Würde mich stören,7,Setze ich voraus,Würde mich stören,9,Ist mir egal,Ist mir egal,3,Ist mir egal,Ist mir egal,3
10.02.2026 15:13:39,18 - 25,Weniger als 3 Flüge,Hauptsächlich Langstrecke,Würde mich sehr freuen,Nehme ich gerade noch hin,5,Würde mich sehr freuen,Würde mich stören,9,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Setze ich voraus,Würde mich stören,9,Ist mir egal,Ist mir egal,3,Würde mich sehr freuen,Ist mir egal,5,Würde mich sehr freuen,Ist mir egal,3,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Ist mir egal,Ist mir egal,1,Ist mir egal,Ist mir egal,3
10.02.2026 15:20:14,18 - 25,Weniger als 3 Flüge,Beides gleich viel,Würde mich sehr freuen,Ist mir egal,5,Würde mich sehr freuen,Ist mir egal,5,Setze ich voraus,Nehme ich gerade noch hin,7,Setze ich voraus,Würde mich stören,9,Ist mir egal,Ist mir egal,1,Setze ich voraus,Würde mich stören,9,Setze ich voraus,Würde mich stören,9,Setze ich voraus,Würde mich stören,9,Ist mir egal,Ist mir egal,5,Ist mir egal,Ist mir egal,3
10.02.2026 15:24:05,18 - 25,Weniger als 3 Flüge,Hauptsächlich Kurzstrecke,Würde mich sehr freuen,Ist mir egal,5,Würde mich sehr freuen,Nehme ich gerade noch hin,9,Würde mich sehr freuen,Würde mich stören,7,Würde mich sehr freuen,Ist mir egal,5,Ist mir egal,Ist mir egal,1,Würde mich sehr freuen,Ist mir egal,5,Ist mir egal,Ist mir egal,5,Würde mich sehr freuen,Würde mich stören,7,Ist mir egal,Ist mir egal,5,Würde mich sehr freuen,Ist mir egal,1
10.02.2026 15:31:16,> 50,Weniger als 3 Flüge,Hauptsächlich Kurzstrecke,Ist mir egal,Würde mich sehr freuen,1,Würde mich sehr freuen,Würde mich stören,7,Ist mir egal,Würde mich sehr freuen,1,Würde mich sehr freuen,Würde mich stören,7,Würde mich stören,Würde mich sehr freuen,1,Würde mich sehr freuen,Würde mich stören,7,Ist mir egal,Ist mir egal,1,Ist mir egal,Ist mir egal,1,Würde mich sehr freuen,Ist mir egal,5,Ist mir egal,Ist mir egal,1
10.02.2026 15:33:59,18 - 25,3 bis 6 Flüge,Beides gleich viel,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Setze ich voraus,Nehme ich gerade noch hin,9,Würde mich sehr freuen,Nehme ich gerade noch hin,5,Würde mich stören,Würde mich sehr freuen,9,Würde mich sehr freuen,Ist mir egal,1,Setze ich voraus,Nehme ich gerade noch hin,5,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Setze ich voraus,Würde mich stören,9,Ist mir egal,Ist mir egal,1,Würde mich sehr freuen,Ist mir egal,3
10.02.2026 15:38:10,18 - 25,Weniger als 3 Flüge,Hauptsächlich Kurzstrecke,Würde mich sehr freuen,Ist mir egal,9,Würde mich sehr freuen,Nehme ich gerade noch hin,5,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Ist mir egal,Ist mir egal,1,Würde mich sehr freuen,Nehme ich gerade noch hin,5,Würde mich sehr freuen,Ist mir egal,5,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Ist mir egal,Ist mir egal,3,Würde mich sehr freuen,Ist mir egal,5
10.02.2026 17:58:45,25 - 50,Weniger als 3 Flüge,Hauptsächlich Kurzstrecke,Würde mich sehr freuen,Nehme ich gerade noch hin,5,Würde mich sehr freuen,Würde mich stören,7,Setze ich voraus,Würde mich stören,7,Setze ich voraus,Würde mich stören,9,Würde mich sehr freuen,Nehme ich gerade noch hin,5,Ist mir egal,Ist mir egal,3,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Setze ich voraus,Würde mich stören,7,Würde mich sehr freuen,Ist mir egal,5,Würde mich sehr freuen,Nehme ich gerade noch hin,7
10.02.2026 18:46:23,> 50,Weniger als 3 Flüge,Hauptsächlich Langstrecke,Würde mich sehr freuen,Würde mich stören,9,Ist mir egal,Ist mir egal,5,Ist mir egal,Ist mir egal,5,Setze ich voraus,Würde mich stören,7,Würde mich sehr freuen,Ist mir egal,5,Ist mir egal,Ist mir egal,5,Würde mich sehr freuen,Ist mir egal,7,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Würde mich sehr freuen,Ist mir egal,7
10.02.2026 23:21:48,25 - 50,Weniger als 3 Flüge,Beides gleich viel,Ist mir egal,Ist mir egal,1,Würde mich sehr freuen,Würde mich stören,5,Würde mich sehr freuen,Ist mir egal,1,Setze ich voraus,Würde mich stören,7,Ist mir egal,Ist mir egal,1,Ist mir egal,Ist mir egal,1,Würde mich sehr freuen,Nehme ich gerade noch hin,5,Würde mich sehr freuen,Ist mir egal,3,Ist mir egal,Ist mir egal,1,Würde mich sehr freuen,Nehme ich gerade noch hin,3
11.02.2026 05:53:13,25 - 50,3 bis 6 Flüge,Hauptsächlich Kurzstrecke,Würde mich sehr freuen,Ist mir egal,7,Würde mich sehr freuen,Würde mich stören,9,Würde mich sehr freuen,Nehme ich gerade noch hin,7,Würde mich sehr freuen,Würde mich stören,9,Ist mir egal,Ist mir egal,3,Würde mich sehr freuen,Ist mir egal,5,Würde mich sehr freuen,Ist mir egal,5,Ist mir egal,Ist mir egal,5,Ist mir egal,Ist mir egal,1,Würde mich sehr freuen,Ist mir egal,5
11.02.2026 08:51:24,18 - 25,Mehr als 6 Flüge,Hauptsächlich Kurzstrecke,Würde mich sehr freuen,Ist mir egal,1,Würde mich sehr freuen,Würde mich stören,5,Würde mich sehr freuen,Nehme ich gerade noch hin,5,Würde mich sehr freuen,Würde mich stören,7,Würde mich sehr freuen,Ist mir egal,3,Würde mich sehr freuen,Setze ich voraus,5,Nehme ich gerade noch hin,Setze ich voraus,5,Würde mich sehr freuen,Nehme ich gerade noch hin,5,Ist mir egal,Ist mir egal,3,Würde mich sehr freuen,Nehme ich gerade noch hin,5
